date,fund,ticker,weight
2021-06-04,Combined Max-Sharpe,TMUS,0.09097185853695404
2021-07-06,Combined Max-Sharpe,TMUS,0.1
2021-08-04,Combined Max-Sharpe,TMUS,0.09999999999999953
2021-09-02,Combined Max-Sharpe,TMUS,0.02932625094231894
2021-10-04,Combined Max-Sharpe,TMUS,0.03190873690754325
2022-03-04,Combined Max-Sharpe,TMUS,0.007030070400669571
2022-04-04,Combined Max-Sharpe,TMUS,0.009014356361328598
2022-07-06,Combined Max-Sharpe,TMUS,0.1
2022-08-04,Combined Max-Sharpe,TMUS,0.09999999999999992
2022-09-02,Combined Max-Sharpe,TMUS,0.1
2022-10-04,Combined Max-Sharpe,TMUS,0.1
2022-11-02,Combined Max-Sharpe,TMUS,0.1
2022-12-02,Combined Max-Sharpe,TMUS,0.1
2023-01-04,Combined Max-Sharpe,TMUS,0.1
2023-02-03,Combined Max-Sharpe,TMUS,0.09999999999999996
2023-03-07,Combined Max-Sharpe,TMUS,0.1
2023-04-05,Combined Max-Sharpe,TMUS,0.09999999999999995
2023-05-05,Combined Max-Sharpe,TMUS,0.1
2023-06-06,Combined Max-Sharpe,TMUS,0.1
2023-07-07,Combined Max-Sharpe,TMUS,0.09999999999999994
2023-08-07,Combined Max-Sharpe,TMUS,0.0999999999999998
2023-09-06,Combined Max-Sharpe,TMUS,0.1
2023-10-05,Combined Max-Sharpe,TMUS,0.1
2023-11-03,Combined Max-Sharpe,TMUS,0.1
2023-12-05,Combined Max-Sharpe,TMUS,0.1
2021-01-04,Combined Max-Sharpe,TRX-USD,0.047490296575334365
2021-02-03,Combined Max-Sharpe,TRX-USD,0.012717854580270305
2021-03-05,Combined Max-Sharpe,TRX-USD,0.05220679116322071
